UTC DateTime,region,nuclear(GW),geothermal(GW),biomass(GW),coal(GW),wind(GW),solar(GW),hydro(GW),gas(GW),oil,unknown,hydro-discharge,battery_discharge,renewable_percentage,total_consumption(GW),breakdown estimated?,UTC time,UTC date,Carbon_Intensity(gCO2eq/kWh),intensity estimated?,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,total_consumption,estimated,carbon_Intensity,estimated_C
7/14/2024 3:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,2.0,1321.0,1426.0,0,12,0,0,48.0,2761.0,False,3:00:00,7/14/2024,445.0,False,,,,,,,,,,,,
7/14/2024 4:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1287.0,1463.0,0,15,0,0,47.0,2765.0,False,4:00:00,7/14/2024,433.0,False,,,,,,,,,,,,
7/14/2024 5:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,1457.0,0,11,0,0,47.0,2772.0,False,5:00:00,7/14/2024,449.0,False,,,,,,,,,,,,
7/14/2024 6:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,1342.0,0,13,0,0,47.0,2571.0,False,6:00:00,7/14/2024,415.0,False,,,,,,,,,,,,
7/15/2024 2:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,37.0,1363.0,1430.0,0,11,0,0,49.0,2841.0,False,2:00:00,7/15/2024,422.0,False,,,,,,,,,,,,
7/15/2024 3:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,1.0,1322.0,1453.0,0,13,0,0,47.0,2789.0,False,3:00:00,7/15/2024,408.0,False,,,,,,,,,,,,
7/15/2024 4:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,1438.0,0,13,0,0,46.0,2692.0,False,4:00:00,7/15/2024,420.0,False,,,,,,,,,,,,
7/15/2024 5:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1237.0,1231.0,0,12,0,0,50.0,2480.0,False,5:00:00,7/15/2024,459.0,False,,,,,,,,,,,,
7/15/2024 6:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1212.0,1137.0,0,13,0,0,51.0,2362.0,False,6:00:00,7/15/2024,489.0,False,,,,,,,,,,,,
7/15/2024 19:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,322.0,815.0,897.0,0,15,0,0,55.0,2049.0,False,19:00:00,7/15/2024,247.0,False,,,,,,,,,,,,
7/15/2024 20:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,327.0,850.0,1015.0,0,12,0,0,53.0,2204.0,False,20:00:00,7/15/2024,249.0,False,,,,,,,,,,,,
7/15/2024 21:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,323.0,994.0,1148.0,0,13,0,0,53.0,2478.0,False,21:00:00,7/15/2024,253.0,False,,,,,,,,,,,,
7/15/2024 22:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,303.0,1166.0,1068.0,0,11,0,0,58.0,2548.0,False,22:00:00,7/15/2024,300.0,False,,,,,,,,,,,,
7/15/2024 23:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,269.0,1198.0,1113.0,0,15,0,0,57.0,2595.0,False,23:00:00,7/15/2024,312.0,False,,,,,,,,,,,,
7/16/2024 0:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,215.0,1253.0,1164.0,0,10,0,0,56.0,2642.0,False,0:00:00,7/16/2024,322.0,False,,,,,,,,,,,,
7/16/2024 1:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,140.0,1433.0,1086.0,0,14,0,0,59.0,2673.0,False,1:00:00,7/16/2024,350.0,False,,,,,,,,,,,,
7/16/2024 2:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,40.0,1403.0,1190.0,0,13,0,0,55.0,2646.0,False,2:00:00,7/16/2024,352.0,False,,,,,,,,,,,,
7/16/2024 3:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1419.0,1206.0,0,12,0,0,54.0,2637.0,False,3:00:00,7/16/2024,337.0,False,,,,,,,,,,,,
7/16/2024 4:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,1205.0,0,12,0,0,53.0,2597.0,False,4:00:00,7/16/2024,340.0,False,,,,,,,,,,,,
7/16/2024 5:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1159.0,0,15,0,0,53.0,2474.0,False,5:00:00,7/16/2024,387.0,False,,,,,,,,,,,,
7/16/2024 6:00,US-CAL-BANC,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,1117.0,0,12,0,0,52.0,2362.0,False,6:00:00,7/16/2024,333.0,False,,,,,,,,,,,,
7/14/2024 3:00,US-CAL-CISO,2266.0,785.0,520.0,0.0,2836.0,7.0,4527.0,16801.0,0,6,0,5007,42.0,32756.0,False,3:00:00,7/14/2024,445.0,False,,,,,,,,,,,,
7/14/2024 4:00,US-CAL-CISO,2270.0,788.0,519.0,0.0,2653.0,0.0,4357.0,15531.0,0,14,0,4109,41.0,30241.0,False,4:00:00,7/14/2024,433.0,False,,,,,,,,,,,,
7/14/2024 5:00,US-CAL-CISO,2271.0,790.0,505.0,0.0,2334.0,0.0,4155.0,14976.0,0,21,0,2086,36.0,27140.0,False,5:00:00,7/14/2024,449.0,False,,,,,,,,,,,,
7/14/2024 6:00,US-CAL-CISO,2267.0,792.0,498.0,0.0,2101.0,0.0,3780.0,13980.0,0,16,0,1033,34.0,24466.0,False,6:00:00,7/14/2024,415.0,False,,,,,,,,,,,,
7/14/2024 7:00,US-CAL-CISO,2256.0,789.0,493.0,0.0,1856.0,0.0,3155.0,13227.0,0,4,0,247,30.0,22028.0,False,7:00:00,7/14/2024,415.0,True,,,,,,,,,,,,
7/14/2024 8:00,US-CAL-CISO,2250.0,788.0,489.0,0.0,1705.0,0.0,2966.0,11971.0,0,0,0,34,30.0,20201.0,False,8:00:00,7/14/2024,387.0,True,,,,,,,,,,,,
7/14/2024 9:00,US-CAL-CISO,2256.0,792.0,489.0,0.0,1696.0,0.0,2754.0,10997.0,0,0,0,6,30.0,18990.0,False,9:00:00,7/14/2024,365.0,True,,,,,,,,,,,,
7/14/2024 10:00,US-CAL-CISO,2244.0,787.0,487.0,0.0,1712.0,0.0,2706.0,10033.0,0,4,0,0,32.0,17973.0,False,10:00:00,7/14/2024,336.0,True,,,,,,,,,,,,
7/14/2024 11:00,US-CAL-CISO,2231.0,782.0,485.0,0.0,1729.0,0.0,3010.0,9064.0,0,2,0,0,35.0,17304.0,False,11:00:00,7/14/2024,324.0,True,,,,,,,,,,,,
7/14/2024 12:00,US-CAL-CISO,2252.0,790.0,493.0,0.0,1691.0,2.0,3066.0,8764.0,0,0,0,1,35.0,17060.0,False,12:00:00,7/14/2024,326.0,True,,,,,,,,,,,,
7/14/2024 13:00,US-CAL-CISO,2233.0,787.0,503.0,0.0,1556.0,1211.0,2699.0,8558.0,0,2,0,127,39.0,17677.0,False,13:00:00,7/14/2024,260.0,True,,,,,,,,,,,,
7/14/2024 14:00,US-CAL-CISO,2089.0,734.0,469.0,0.0,1378.0,4907.0,2592.0,6145.0,0,5,0,0,55.0,18321.0,False,14:00:00,7/14/2024,232.0,True,,,,,,,,,,,,
7/14/2024 15:00,US-CAL-CISO,1956.0,680.0,436.0,0.0,1372.0,8016.0,1964.0,4646.0,0,0,0,0,65.0,19071.0,False,15:00:00,7/14/2024,228.0,True,,,,,,,,,,,,
7/14/2024 16:00,US-CAL-CISO,1804.0,622.0,402.0,0.0,722.0,10501.0,1639.0,3702.0,0,0,0,0,72.0,19392.0,False,16:00:00,7/14/2024,230.0,True,,,,,,,,,,,,
7/14/2024 17:00,US-CAL-CISO,1783.0,611.0,399.0,0.0,633.0,11261.0,1605.0,3186.0,0,0,0,0,74.0,19477.0,False,17:00:00,7/14/2024,234.0,True,,,,,,,,,,,,
7/14/2024 18:00,US-CAL-CISO,1894.0,646.0,424.0,0.0,715.0,11419.0,1613.0,3930.0,0,0,0,0,72.0,20641.0,False,18:00:00,7/14/2024,232.0,True,,,,,,,,,,,,
7/14/2024 19:00,US-CAL-CISO,1998.0,683.0,447.0,0.0,1047.0,11836.0,2207.0,4688.0,0,0,0,0,71.0,22907.0,False,19:00:00,7/14/2024,226.0,True,,,,,,,,,,,,
7/14/2024 20:00,US-CAL-CISO,2110.0,722.0,474.0,0.0,1463.0,12904.0,2369.0,5464.0,0,0,0,0,70.0,25505.0,False,20:00:00,7/14/2024,220.0,True,,,,,,,,,,,,
7/14/2024 21:00,US-CAL-CISO,2156.0,740.0,483.0,0.0,1527.0,13502.0,2614.0,6004.0,0,0,0,0,70.0,27025.0,False,21:00:00,7/14/2024,231.0,True,,,,,,,,,,,,
7/14/2024 22:00,US-CAL-CISO,2232.0,768.0,504.0,0.0,1586.0,13890.0,3198.0,7119.0,0,0,0,173,68.0,29469.0,False,22:00:00,7/14/2024,243.0,True,,,,,,,,,,,,
7/14/2024 23:00,US-CAL-CISO,2256.0,798.0,513.0,0.0,1504.0,12776.0,3483.0,9475.0,0,8,0,239,62.0,31050.0,False,23:00:00,7/14/2024,266.0,True,,,,,,,,,,,,
7/15/2024 0:00,US-CAL-CISO,2264.0,802.0,514.0,0.0,1565.0,10149.0,3908.0,11136.0,0,5,0,2588,59.0,32930.0,False,0:00:00,7/15/2024,333.0,True,,,,,,,,,,,,
